song_id,title,artist,period,primary_genre,confidence,judgment,review_note,external_source
song_d67318a75ac94677d1d0add1a18f7d68af364d40615b139824985c4c259585c0,Issues,Julia Michaels,2010–2019,Pop,high,plausible,Direct Pop evidence supports Pop.,
song_d79887a87f2dccc907f2c75794c4b8a5f939ec86a1bb877313c4c77650319ccd,...Baby One More Time,Britney Spears,1990s,Pop,high,plausible,Identifiable teen/dance-pop recording fits Pop.,
song_d92aa9e1a426326b2398507f334c800b2a5de1a9d3948c1f73526f84a80980f7,You Don't Know My Name,Alicia Keys,2000s,R&B / Soul,high,plausible,Neo-soul/R&B identity and evidence agree.,
song_d95b87fb0845fcb78da9fb30f480d8407233ff9862daa61b28a2dc783c61e445,Summer Nights,Rascal Flatts,2000s,Country,high,plausible,Country-pop evidence supports Country.,
song_d9ce97f03a69cbae59406c3591a99ac26f4ea87b2f2294e5e024d51fcf129c58,Say It Again,Santana,1980s,Rock,high,questionable,Rock versus Latin primary differs from another Latin-rock case; tag weighting may drive inconsistent category boundaries.,
song_db0f8a8406732079b0807dee84bcb9c7c39915d5c60b982a85c0e050cfab6b86,(That's) What The Nitty Gritty Is,Shirley Ellis,1958–1969,R&B / Soul,medium,plausible,Early R&B dance-pop context supports R&B.,
song_dc987dcdfe3b853cfa2831d18e7e6b4dd6c8f40490c8b55ee24238ac0eb943e9,Yeah Boy,Kelsea Ballerini,2010–2019,Country,high,plausible,Contemporary country-pop evidence supports Country.,
song_dccbaf9b142e3698590a16b8e0663c30bdb30bb1e6b50b7dcbb75622cbc3e193,Love That Really Counts,Natural Four,1970s,R&B / Soul,medium,plausible,"Soul-group context supports the broad choice, with song-level uncertainty.",
song_e0e8010559b5fd707dc2ef98862aa9c00474e92b0291b276848b9c7f962f3142,"Step By Step (From ""The Preacher's Wife"")",Whitney Houston,1990s,Gospel / Christian,medium,questionable,Official artist history calls this R&B/pop; gospel influence is real but soundtrack context may dominate primary choice.,https://www.whitneyhouston.com/en-ca/news/whitney-houstons-step-by-step-was-released-this-day-in-1997/
song_e218bb695c0148a09e220f8c88bedba48c05f4753ad30a8c52e851a8ce63955e,Tip Toe,Robert Parker,1958–1969,R&B / Soul,medium,plausible,"New Orleans R&B context is a plausible fit, not a high-confidence verification.",
song_e2478bff56b2ac756d86c127838a0dc2a0638f8217115d4c1ce8b6374e0409b6,A Satisfied Mind,Bobby Hebb,1958–1969,R&B / Soul,medium,plausible,Soul arrangement of a country-rooted composition supports R&B for this version.,
song_e569c2b9fa13a912f61b7c747b5f01656f97a97dda5c31e3b3f3b54e0a8b8e47,Boot Scootin' Boogie,Brooks & Dunn,1990s,Country,high,plausible,Country dance recording fits Country.,
song_e7cde10f0b6e6fa3d3d7294e81602c194e38c4176817cc6a325cc9b7e766b9da,Vuelve Candy B,Bad Bunny,2020–2026,Latin,high,plausible,Latin-trap recording evidence supports Latin rather than nationality alone.,
song_e7ed05629243faab6d4eac180baf4039ed752afe93fa6e7521e68703b42cfcd5,Wild Thing,Fancy,1970s,Rock,medium,plausible,"Rock/glam evidence supports this version, not another performer's Wild Thing.",
song_e8c5ce32cb7eee29f63155045e885fc5a17258c5e222525c32d25fc0325d0cbd,Theme From Superman (Main Title),The London Symphony Orchestra/John Williams,1970s,Other,high,plausible,Orchestral film-score recording lies outside the 15 named musical/scene categories.,
song_eb564da6040023493c2c028853bdab3b287fa02a8caf4752d87cbbf8589d939d,Amnesia,5 Seconds Of Summer,2010–2019,Pop,medium,plausible,Pop-rock ballad supports Pop.,
song_eef6aa3e2d0e1f2e8fe78f4c15fd73a02659822973c782cb33c52578c9fb9848,The Best Of Times,Styx,1980s,Rock,high,plausible,Arena/progressive-rock evidence supports Rock.,
song_f1d682f66bfff94bd4daa2e7789c97c455c2cbcef285d4accff0221954ae44b4,Ramona,The Blue Diamonds,1958–1969,Pop,low,questionable,"Likely early pop, but low-confidence exact-version inference is not independently confirmed.",
song_f21f6443275a3ca68ee3c9f3178732b0609fceccdbe0008861e1cc6ddf56a8ad,Send My Love/Send One Your Love,Born Jamericans,1990s,Reggae / Dancehall,medium,plausible,Reggae/hip-hop crossover supports Dancehall at medium confidence.,
song_f4316a5df812984407aa379ab95c2a72b1199cc08e0f4a8e0d37483ff54dd11a,"Silent Night, Holy Night",Mahalia Jackson,1958–1969,Gospel / Christian,high,plausible,"Gospel performance context and recording evidence support Gospel, beyond holiday subject alone.",
song_f4457b8e049ddee44b2410adfdbf5bcd669b1c58db55fba1ffb6e7eb0bfa2e42,Pump Up The Jam,Technotronic Featuring Felly,1980s,Electronic / Dance,high,plausible,House/dance identity supports Dance.,
song_f5438fa78a56b33e2b901edf1bbad13ea8e0975c2ee2e8aa7e5efaece9670c6f,"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald,1980s,Pop,high,plausible,Adult pop/blue-eyed-soul crossover permits Pop.,
song_f6dc62e252d5189ef6e9162b507429c8459b129d0a7ddd77df37cf6da1e3a4a5,Me And Bobby McGee,Jerry Lee Lewis,1970s,Country,high,plausible,Country crossover is defensible for this Jerry Lee Lewis version.,
song_f7ad1a6ecdfdc6f3d31a48a75cd8673daa6f6de3546b6dc355a29ce0c2e52345,Stairway To Heaven,Far Corporation,1980s,Rock,high,plausible,Rock-cover identity and evidence support Rock.,
song_f95a9660c99c34967b2f055213ff18ba89267e0cc8c51270d570c68b3f56270b,Who You'd Be Today,Kenny Chesney,2000s,Country,high,plausible,Country recording evidence is consistent.,
song_fa20e97f164857c96bf941190873dd18b42bfd697c2e803a1769db937a757a58,You Got It All,The Jets,1980s,Pop,high,questionable,R&B ballad character may be underweighted by generic teen/synth-pop tags; primary remains debatable.,
song_fa86d93e334a7a018ac1758c0439ca241cbe134c57d333b5fe4e0590aad75d8a,Bar None,Jordan Davis,2020–2026,Country,medium,questionable,Recent exact-track classification relies on artist context and likely style; independent support is limited.,
song_fb3cdcb0fc343210aa7b2f5597a9a872a788e72315aa12ee4a0c9ef96640e7de,Low Rider (On The Boulevard),Latin Alliance Featuring War,1990s,Hip-Hop / Rap,medium,plausible,Rap remake fits Rap; title/language is not the deciding basis.,
song_fc3fb2c2ee92d9903c16665b24aa64f960f6fd4c44cf30c56a066fd29c1e211e,For All Time,Soluna,2000s,Pop,medium,plausible,Pop-ballad primary is plausible; electronic/house tags may concern remixes.,
song_fefdbc50522e92fd51e744d6977c7b8181476c67f51039bc706d10d502c1d2c9,Magic Man,Herb Alpert,1980s,Jazz / Blues,medium,questionable,Easy-listening instrumental versus jazz is an unresolved boundary; artist identity alone does not settle it.,
